DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
1001;1-hole;160 mm;1080x2424;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1002;1-hole;155 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1003;;327.66 mm;2732x2048;Color IPS TFT LCD display;30 bit/pixel;LED;
1004;;275.84 mm;2360x1640;Color IPS TFT LCD display;30 bit/pixel;LED;
1005;;276.9 mm;1640x2360;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1006;;171.3 mm;720x1600;Color PLS TFT LCD display;24 bit/pixel;LED;90 Hz
1007;;171.3 mm;720x1600;Color PLS TFT LCD display;24 bit/pixel;LED;60 Hz
1008;;154 mm;1170x2532;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1009;;169.1 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1010;1-hole;170.1 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1011;;169.1 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1012;1-hole;170.7 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1013;1-hole;164.85 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1014;1-hole;161.54 mm;1200x2670;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1015;1-hole;169.4 mm;1220x2712;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1016;1-hole;169.4 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1017;1-hole;169.4 mm;1220x2712;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1018;1-hole;169.4 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1019;1-hole;165 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1020;1-hole;166.37 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1021;1-hole;165.1 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1022;1-hole;170.7 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1023;1-hole;162.9 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1024;;167.2 mm;1080x2408;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1025;1-hole;169.4 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1026;1-hole;166.62 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1027;;284 mm;1536x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1028;;279 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1029;;292 mm;2000x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1030;1-hole;170 mm;1084x2412;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1031;1-hole;172 mm;1080x2392;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1032;1-hole;172.2 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;185 Hz
1033;1-hole;172.2 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1034;;315 mm;2800x1752;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1035;;369.9 mm;2960x1848;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1036;;307.3 mm;2120x3000;Color IPS TFT LCD display;30 bit/pixel;LED;144 Hz
1037;;294.89 mm;2800x2000;Color IPS TFT LCD display;30 bit/pixel;LED;144 Hz
1038;;38.1 mm;466x466;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1039;;36.3 mm;466x466;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1040;;35.3 mm;454x454;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1041;;171.3 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1042;1-hole;156.4 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1043;1-hole;169.1 mm;1440x3120;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1044;1-hole;174.2 mm;1440x3120;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1045;1-hole;169.4 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1046;1-hole;170.2 mm;1080x2412;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1047;;36 mm;456x456;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1048;;32 mm;408x408;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1049;;30.5 mm;450x450;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1050;1-hole;167.4 mm;1256x2760;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1051;1-hole;172.2 mm;1264x2780;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1052;;37.3 mm;480x480;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1053;;33.3 mm;432x432;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1054;;30.4 mm;396x396;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1055;;34.6 mm;450x450;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1056;;30.2 mm;360x360;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1057;;34.5 mm;360x360;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1058;1-hole;169.42 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1059;1-hole;169.41 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1060;;174.75 mm;720x1640;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1061;1-hole;169.41 mm;1220x2712;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1062;;174.7 mm;720x1640;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1063;;170.4 mm;720x1650;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1064;;165.6 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1065;1-hole;169.41 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1066;1-hole;169.41 mm;1220x2712;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1067;1-hole;166.37 mm;1236x2750;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1068;1-hole;166.62 mm;1080x2520;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1069;1-hole;174.24 mm;1224x2912;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1070;;155 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
1071;1-hole;169.4 mm;720x1604;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1072;;288.5 mm;2408x1720;Color IPS TFT LCD display;30 bit/pixel;LED;90 Hz
1073;;166.6 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1074;;166.62 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1075;1-hole;169.6 mm;720x1608;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1076;1-hole;160.27 mm;1216x2640;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1077;1-hole;169.4 mm;1260x2800;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1078;1-hole;172.2 mm;1260x2800;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1079;;45.3 mm;374x446;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1080;;50.5 mm;416x496;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1081;;48.74 mm;410x502;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1082;;42.3 mm;352x430;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1083;;48.3 mm;396x484;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1084;1-hole;170.3 mm;1080x2640;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1085;;164.8 mm;1080x2520;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1086;1-hole;175.3 mm;1080x2640;Color AM-OLED display;30 bit/pixel;Self-illuminating;165 Hz
1087;1-hole;175.3 mm;1080x2640;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1088;1-hole;161 mm;1280x2856;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1089;1-hole;171 mm;1344x2992;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1090;;256.5 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1091;;147.32 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
1092;;210 mm;1488x2266;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1093;1-hole;155 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;240 Hz
1094;1-hole;170 mm;1290x2796;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1095;1-hole;169.93 mm;1290x2796;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1096;1-hole;155.45 mm;1179x2556;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1097;1-hole;159.26 mm;1206x2622;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1098;1-hole;174.25 mm;1320x2868;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1099;1-hole;259 mm;3184x2232;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1100;1-hole;176.3 mm;1136x2690;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1101;1-hole;170.18 mm;1084x2412;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1102;1-hole;169.4 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
1103;2-hole;171.7 mm;1224x2776;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1104;;278.1 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1105;;278.14 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1106;;278.14 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1107;;278.14 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1108;;335 mm;2880x1920;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1109;;292 mm;2800x1840;Color IPS TFT LCD display;24 bit/pixel;LED;144 Hz
1110;;310 mm;2800x1840;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1111;1-hole;320 mm;2560x1600;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1112;;292 mm;2200x1440;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1113;;264.16 mm;2000x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1114;1-hole;167 mm;1256x2760;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1115;1-hole;165.1 mm;1080x2376;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1116;1-hole;171.7 mm;1344x2772;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
